date,income,price
2015-01-04,3102021,4807
2015-01-05,3102021,4717
2015-01-06,3102021,4667
2015-01-07,3102021,4623
2015-01-08,3102021,4504
2015-01-11,3102021,4399
2015-01-12,3102021,4449
2015-01-13,3102021,4608
2015-01-14,3102021,4809
2015-01-15,3102021,5075
2015-01-18,3102021,5658
2015-01-19,3102021,5908
2015-01-20,3102021,6112
2015-01-21,3102021,6250
2015-01-22,3102021,6413
2015-01-25,3102021,6825
2015-01-26,3102021,6859
2015-01-27,3102021,6902
2015-01-28,3102021,7070
2015-01-29,3102021,7291
2015-02-01,3102021,7823
2015-02-02,3102021,7957
2015-02-03,3102021,8092
2015-02-04,3102021,8244
2015-02-05,3102021,8481
2015-02-08,3102021,8481
2015-02-09,3102021,8461
2015-02-10,3102021,8234
2015-02-15,3102021,7272
2015-02-16,3102021,7199
2015-02-17,3102021,7190
2015-02-18,3102021,7307
2015-02-19,3102021,7300
2015-02-22,3102021,7084
2015-02-23,3102021,6930
2015-02-24,3102021,6916
2015-02-25,3102021,6977
2015-02-26,3102021,6889
2015-03-02,3102021,7027
2015-03-03,3102021,6952
2015-03-04,3102021,6856
2015-03-05,3102021,6632
2015-03-08,3102021,6098
2015-03-09,3102021,5909
2015-03-10,3102021,5720
2015-03-11,3102021,5686
2015-03-12,3102021,5676
2015-03-15,3102021,5671
2015-03-16,3102021,5748
2015-03-17,3102021,5748
2015-03-18,3102021,5665
2015-03-19,3102021,5611
2015-03-22,3102021,5436
2015-03-23,3102021,5405
2015-03-24,3102021,5455
2015-03-25,3102021,5496
2015-03-26,3102021,5448
2015-03-29,3102021,5192
2015-03-30,3102021,5114
2015-03-31,3102021,5065
2015-04-01,3102021,4987
2015-04-02,3102021,4916
2015-04-05,3102021,4725
2015-04-06,3102021,4687
2015-04-07,3102021,4626
2015-04-08,3102021,4617
2015-04-09,3102021,4608
2015-04-12,3102021,4613
2015-04-13,3102021,4598
2015-04-14,3102021,4545
2015-04-15,3102021,4482
2015-04-16,3102021,4401
2015-04-19,3102021,4206
2015-04-20,3102021,4166
2015-04-21,3102021,4143
2015-04-22,3102021,4147
2015-04-23,3102021,4172
2015-04-26,3102021,4208
2015-04-27,3102021,4247
2015-04-28,3102021,4303
2015-04-29,3102021,4350
2015-04-30,3102021,4435
2015-05-03,3102021,4709
2015-05-04,3102021,4753
2015-05-06,3102021,4694
2015-05-07,3102021,4676
2015-05-10,3102021,4720
2015-05-11,3102021,4639
2015-05-12,3102021,4519
2015-05-13,3102021,4420
2015-05-14,3102021,4348
2015-05-17,3102021,4127
2015-05-18,3102021,4100
2015-05-20,3102021,4124
2015-05-21,3102021,4121
2015-05-24,3102021,4109
2015-05-25,3102021,4122
2015-05-26,3102021,4137
2015-05-27,3102021,4162
2015-05-28,3102021,4172
2015-05-31,3102021,4030
2015-06-01,3102021,4039
2015-06-02,3102021,4055
2015-06-03,3102021,4095
2015-06-04,3102021,4152
2015-06-07,3102021,4216
2015-06-08,3102021,4163
2015-06-09,3102021,4056
2015-06-10,3102021,3961
2015-06-11,3102021,3940
2015-06-14,3102021,3810
2015-06-15,3102021,3722
2015-06-16,3102021,3692
2015-06-17,3102021,3698
2015-06-18,3102021,3728
2015-06-21,3102021,3726
2015-06-22,3102021,3726
2015-06-23,3102021,3778
2015-06-24,3102021,3796
2015-06-25,3102021,3754
2015-06-28,3102021,3864
2015-06-29,3102021,3920
2015-06-30,3102021,3996
2015-07-01,3102021,3282
2015-07-02,3102021,3333
2015-07-03,3102021,3367
2015-07-06,3102021,3473
2015-07-07,3102021,3465
2015-07-08,3102021,3483
2015-07-09,3102021,3493
2015-07-10,3102021,3557
2015-07-13,3102021,3689
2015-07-14,3102021,3680
2015-07-15,3102021,3724
2015-07-16,3102021,3840
2015-07-17,3102021,3866
2015-07-20,3102021,3953
2015-07-21,3102021,3918
2015-07-22,3102021,3837
2015-07-23,3102021,3752
2015-07-24,3102021,3734
2015-07-27,3102021,3803
2015-07-28,3102021,3792
2015-07-29,3102021,3851
2015-07-30,3102021,3839
2015-07-31,3102021,3802
2015-08-03,3102021,3891
2015-08-04,3102021,3968
2015-08-05,3102021,3947
2015-08-06,3102021,3974
2015-08-07,3102021,3857
2015-08-10,3102021,3713
2015-08-11,3102021,3701
2015-08-12,3102021,3620
2015-08-13,3102021,3566
2015-08-17,3102021,3553
2015-08-18,3102021,3541
2015-08-19,3102021,3608
2015-08-20,3102021,3607
2015-08-21,3102021,3556
2015-08-24,3102021,3681
2015-08-25,3102021,3833
2015-08-26,3102021,4028
2015-08-27,3102021,4302
2015-08-28,3102021,4493
2015-08-31,3102021,4689
2015-09-01,3102021,4668
2015-09-02,3102021,4779
2015-09-03,3102021,4990
2015-09-04,3102021,5083
2015-09-07,3102021,5454
2015-09-08,3102021,5528
2015-09-09,3102021,5443
2015-09-10,3102021,5428
2015-09-11,3102021,5516
2015-09-14,3102021,5756
2015-09-15,3102021,5583
2015-09-16,3102021,5425
2015-09-17,3102021,5287
2015-09-18,3102021,5155
2015-09-21,3102021,4982
2015-09-22,3102021,4933
2015-09-23,3102021,4893
2015-09-24,3102021,4771
2015-09-25,3102021,4585
2015-09-30,3102021,4053
2015-10-01,3102021,3940
2015-10-02,3102021,3818
2015-10-05,3102021,3736
2015-10-06,3102021,3645
2015-10-07,3102021,3736
2015-10-08,3102021,3650
2015-10-12,3102021,3722
2015-10-13,3102021,3820
2015-10-14,3102021,3809
2015-10-15,3102021,3884
2015-10-16,3102021,4058
2015-10-19,3102021,4240
2015-10-20,3102021,4233
2015-10-21,3102021,4205
2015-10-22,3102021,4197
2015-10-23,3102021,4169
2015-10-26,3102021,4159
2015-10-27,3102021,4166
2015-10-28,3102021,4231
2015-10-29,3102021,4313
2015-10-30,3102021,4413
2015-11-02,3102021,4661
2015-11-03,3102021,4765
2015-11-04,3102021,4917
2015-11-05,3102021,5031
2015-11-06,3102021,5071
2015-11-09,3102021,5008
2015-11-10,3102021,5011
2015-11-11,3102021,4950
2015-11-12,3102021,4890
2015-11-13,3102021,4884
2015-11-16,3102021,4825
2015-11-17,3102021,4828
2015-11-18,3102021,4877
2015-11-19,3102021,4915
2015-11-20,3102021,4932
2015-11-23,3102021,5072
2015-11-24,3102021,5083
2015-11-25,3102021,5037
2015-11-26,3102021,4973
2015-11-27,3102021,4972
2015-11-30,3102021,5196
2015-12-01,3102021,5185
2015-12-02,3102021,5175
2015-12-03,3102021,5178
2015-12-07,3102021,5234
2015-12-08,3102021,5160
2015-12-09,3102021,5091
2015-12-10,3102021,4969
2015-12-11,3102021,4863
2015-12-14,3102021,4779
2015-12-15,3102021,4728
2015-12-16,3102021,4664
2015-12-17,3102021,4627
2015-12-18,3102021,4636
2015-12-21,3102021,4532
2015-12-22,3102021,4544
2015-12-23,3102021,4563
2015-12-24,3102021,4647
2015-12-28,3102021,4822
2015-12-29,3102021,4860
2015-12-30,3102021,5005
2015-12-31,3102021,5105
2016-01-04,1402824,5766
2016-01-05,1402824,5873
2016-01-06,1402824,6000
2016-01-07,1402824,6050
2016-01-08,1402824,5993
2016-01-11,1402824,6050
2016-01-12,1402824,6029
2016-01-13,1402824,6032
2016-01-14,1402824,5991
2016-01-15,1402824,5975
2016-01-18,1402824,5840
2016-01-19,1402824,5775
2016-01-20,1402824,5685
2016-01-21,1402824,5688
2016-01-22,1402824,5764
2016-01-25,1402824,6339
2016-01-26,1402824,6547
2016-01-27,1402824,6701
2016-01-28,1402824,7051
2016-01-29,1402824,7537
2016-02-01,1402824,7996
2016-02-02,1402824,8031
2016-02-03,1402824,8113
2016-02-04,1402824,7986
2016-02-05,1402824,7745
2016-02-11,1402824,7714
2016-02-12,1402824,7925
2016-02-15,1402824,8584
2016-02-16,1402824,8961
2016-02-17,1402824,9216
2016-02-18,1402824,9339
2016-02-19,1402824,9321
2016-02-22,1402824,9599
2016-02-23,1402824,9594
2016-02-24,1402824,9537
2016-02-25,1402824,9508
2016-02-26,1402824,9567
2016-02-29,1402824,10452
2016-03-02,1402824,9483
2016-03-03,1402824,9485
2016-03-04,1402824,9587
2016-03-07,1402824,9499
2016-03-08,1402824,9365
2016-03-09,1402824,9249
2016-03-10,1402824,9034
2016-03-11,1402824,8741
2016-03-14,1402824,7887
2016-03-15,1402824,7764
2016-03-16,1402824,7660
2016-03-17,1402824,7380
2016-03-18,1402824,7121
2016-03-21,1402824,6524
2016-03-22,1402824,6223
2016-03-23,1402824,6175
2016-03-24,1402824,5976
2016-03-25,1402824,5747
2016-03-28,1402824,5158
2016-03-29,1402824,5078
2016-03-30,1402824,4971
2016-03-31,1402824,4852
2016-04-01,1402824,4783
2016-04-04,1402824,4764
2016-04-05,1402824,4670
2016-04-06,1402824,4455
2016-04-07,1402824,4315
2016-04-08,1402824,4283
2016-04-11,1402824,4246
2016-04-12,1402824,4225
2016-04-14,1402824,4324
2016-04-15,1402824,4407
2016-04-18,1402824,4557
2016-04-19,1402824,4573
2016-04-20,1402824,4599
2016-04-21,1402824,4625
2016-04-22,1402824,4650
2016-04-25,1402824,4685
2016-04-26,1402824,4707
2016-04-27,1402824,4753
2016-04-28,1402824,4774
2016-04-29,1402824,4814
2016-05-02,1402824,4879
2016-05-03,1402824,4930
2016-05-04,1402824,4990
2016-05-09,1402824,4849
2016-05-10,1402824,4885
2016-05-11,1402824,4883
2016-05-12,1402824,4826
2016-05-13,1402824,4721
2016-05-16,1402824,4433
2016-05-17,1402824,4357
2016-05-18,1402824,4327
2016-05-19,1402824,4260
2016-05-20,1402824,4179
2016-05-23,1402824,4288
2016-05-24,1402824,4289
2016-05-25,1402824,4269
2016-05-26,1402824,4229
2016-05-27,1402824,4190
2016-05-30,1402824,3995
2016-05-31,1402824,4013
2016-06-01,1402824,4051
2016-06-02,1402824,4012
2016-06-03,1402824,3990
2016-06-07,1402824,4004
2016-06-08,1402824,3972
2016-06-09,1402824,3926
2016-06-10,1402824,3885
2016-06-13,1402824,3652
2016-06-14,1402824,3569
2016-06-15,1402824,3506
2016-06-16,1402824,3482
2016-06-17,1402824,3530
2016-06-20,1402824,3532
2016-06-21,1402824,3533
2016-06-22,1402824,3519
2016-06-23,1402824,3489
2016-06-24,1402824,3440
2016-06-27,1402824,3296
2016-06-28,1402824,3321
2016-06-29,1402824,3376
2016-06-30,1402824,3432
2016-07-01,1402824,3450
2016-07-04,1402824,3453
2016-07-05,1402824,3475
2016-07-06,1402824,3483
2016-07-07,1402824,3462
2016-07-08,1402824,3473
2016-07-11,1402824,3619
2016-07-12,1402824,3672
2016-07-13,1402824,3745
2016-07-14,1402824,3804
2016-07-15,1402824,3886
2016-07-18,1402824,3924
2016-07-19,1402824,3982
2016-07-20,1402824,3945
2016-07-21,1402824,3850
2016-07-22,1402824,3756
2016-07-25,1402824,3678
2016-07-26,1402824,3730
2016-07-27,1402824,3768
2016-07-28,1402824,3757
2016-07-29,1402824,3823
2016-08-01,1402824,3768
2016-08-02,1402824,3768
2016-08-03,1402824,3891
2016-08-04,1402824,3968
2016-08-05,1402824,3947
2016-08-08,1402824,3724
2016-08-09,1402824,3683
2016-08-10,1402824,3706
2016-08-11,1402824,3689
2016-08-12,1402824,3607
2016-08-16,1402824,3577
2016-08-17,1402824,3524
2016-08-18,1402824,3518
2016-08-19,1402824,3608
2016-08-22,1402824,3591
2016-08-23,1402824,3611
2016-08-24,1402824,3645
2016-08-25,1402824,3726
2016-08-26,1402824,3837
2016-08-29,1402824,4400
2016-08-30,1402824,4564
2016-08-31,1402824,4635
2016-09-01,1402824,4603
2016-09-02,1402824,4673
2016-09-05,1402824,4773
2016-09-06,1402824,4829
2016-09-07,1402824,4943
2016-09-08,1402824,4988
2016-09-09,1402824,4871
2016-09-12,1402824,5165
2016-09-13,1402824,5224
2016-09-19,1402824,4106
