date,uga
2015-01-01,53.27
2015-01-02,53.27
2015-01-03,52.125
2015-01-04,52.125
2015-01-05,50.98
2015-01-06,48.08
2015-01-07,46.6
2015-01-08,47.5
2015-01-09,47.41
2015-01-10,46.54
2015-01-11,46.54
2015-01-12,45.67
2015-01-13,43.3
2015-01-14,42.55
2015-01-15,44.48
2015-01-16,43.92
2015-01-17,44.98
2015-01-18,44.98
2015-01-19,46.04
2015-01-20,44.82
2015-01-21,44.75
2015-01-22,44.65
2015-01-23,44.42
2015-01-24,44.285
2015-01-25,44.285
2015-01-26,44.15
2015-01-27,43.63
2015-01-28,44.83
2015-01-29,44.63
2015-01-30,45.59
2015-01-31,47.2
2015-02-01,47.2
2015-02-02,48.81
2015-02-03,52.62
2015-02-04,54.72
2015-02-05,51.41
2015-02-06,54.23
2015-02-07,54.8
2015-02-08,54.8
2015-02-09,55.37
2015-02-10,55.83
2015-02-11,54.91
2015-02-12,54.75
2015-02-13,57.7
2015-02-14,58.265
2015-02-15,58.265
2015-02-16,58.83
2015-02-17,58.89
2015-02-18,59.32
2015-02-19,58.305
2015-02-20,58.305
2015-02-21,58.305
2015-02-22,58.305
2015-02-23,57.29
2015-02-24,56.06
2015-02-25,55.84
2015-02-26,58.42
2015-02-27,57.39
2015-02-28,57.595
2015-03-01,57.595
2015-03-02,59.58
2015-03-03,57.15
2015-03-04,57.8
2015-03-05,57.35
2015-03-06,57.26
2015-03-07,55.38
2015-03-08,55.38
2015-03-09,56.58
2015-03-10,55.48
2015-03-11,53.5
2015-03-12,55.4
2015-03-13,54.96
2015-03-14,53.1
2015-03-15,53.1
2015-03-16,52.75
2015-03-17,51.64
2015-03-18,51.24
2015-03-19,53.4
2015-03-20,52.06
2015-03-21,52.375
2015-03-22,52.375
2015-03-23,52.87
2015-03-24,53.4
2015-03-25,52.69
2015-03-26,53.99
2015-03-27,56.37
2015-03-28,54.6
2015-03-29,54.6
2015-03-30,53.95
2015-03-31,53.84
2015-04-01,52.83
2015-04-02,54.63
2015-04-03,54.82
2015-04-04,54.82
2015-04-05,54.82
2015-04-06,53.95
2015-04-07,55.01
2015-04-08,55.92
2015-04-09,53.31
2015-04-10,54.28
2015-04-11,55.55
2015-04-12,55.55
2015-04-13,56.58
2015-04-14,56.32
2015-04-15,56.82
2015-04-16,58.66
2015-04-17,59.21
2015-04-18,58.62
2015-04-19,58.62
2015-04-20,59.34
2015-04-21,59.25
2015-04-22,58.03
2015-04-23,58.6
2015-04-24,61.43
2015-04-25,61.54
2015-04-26,61.54
2015-04-27,62
2015-04-28,61.62
2015-04-29,61.65
2015-04-30,62.69
2015-05-01,62.985
2015-05-02,62.985
2015-05-03,62.985
2015-05-04,63.03
2015-05-05,63.28
2015-05-06,64.79
2015-05-07,65.06
2015-05-08,62.96
2015-05-09,63.585
2015-05-10,63.585
2015-05-11,62.84
2015-05-12,62.4
2015-05-13,64.21
2015-05-14,63.61
2015-05-15,63.49
2015-05-16,62.62
2015-05-17,62.62
2015-05-18,63.58
2015-05-19,62.79
2015-05-20,61.75
2015-05-21,62.68
2015-05-22,64.03
2015-05-23,63.07
2015-05-24,63.07
2015-05-25,62.98
2015-05-26,63.07
2015-05-27,62.11
2015-05-28,60.64
2015-05-29,61.11
2015-05-30,61.705
2015-05-31,61.705
2015-06-01,61.705
2015-06-02,62.49
2015-06-03,62.3
2015-06-04,60.71
2015-06-05,59.03
2015-06-06,60.845
2015-06-07,60.845
2015-06-08,60.23
2015-06-09,59.64
2015-06-10,62.66
2015-06-11,63.44
2015-06-12,62.42
2015-06-13,62.365
2015-06-14,61.44
2015-06-15,61.29
