date,uga,price
2015-01-04,52.125,5967.0
2015-01-05,50.98,5967.0
2015-01-06,48.08,5967.0
2015-01-07,46.6,5967.0
2015-01-08,47.5,5967.0
2015-01-11,46.54,5967.0
2015-01-12,45.67,6067.0
2015-01-13,43.3,6067.0
2015-01-14,42.55,6067.0
2015-01-15,44.48,6067.0
2015-01-18,44.98,6067.0
2015-01-19,46.04,6067.0
2015-01-20,44.82,6067.0
2015-01-21,44.75,6067.0
2015-01-22,44.65,6067.0
2015-01-25,44.285,6067.0
2015-01-26,44.15,6067.0
2015-01-27,43.63,6067.0
2015-01-28,44.83,6067.0
2015-01-29,44.63,6067.0
2015-02-01,47.2,6067.0
2015-02-02,48.81,6067.0
2015-02-03,52.62,6067.0
2015-02-04,54.72,6133.0
2015-02-05,51.41,6133.0
2015-02-08,54.8,6133.0
2015-02-09,55.37,6133.0
2015-02-10,55.83,6133.0
2015-02-15,58.265,6133.0
2015-02-16,58.83,6133.0
2015-02-17,58.89,6133.0
2015-02-18,59.32,6133.0
2015-02-19,58.305,6133.0
2015-02-22,58.305,6133.0
2015-02-23,57.29,6133.0
2015-02-24,56.06,6133.0
2015-02-25,55.84,6133.0
2015-02-26,58.42,6133.0
2015-03-02,59.58,6133.0
2015-03-03,57.15,6133.0
2015-03-04,57.8,6400.0
2015-03-05,57.35,6400.0
2015-03-08,55.38,6400.0
2015-03-09,56.58,6400.0
2015-03-10,55.48,6400.0
2015-03-11,53.5,6400.0
2015-03-12,55.4,6400.0
2015-03-15,53.1,6400.0
2015-03-16,52.75,6400.0
2015-03-17,51.64,6233.0
2015-03-18,51.24,6233.0
2015-03-19,53.4,6133.0
2015-03-22,52.375,6067.0
2015-03-23,52.87,6067.0
2015-03-24,53.4,6067.0
2015-03-25,52.69,6067.0
2015-03-26,53.99,6000.0
2015-03-29,54.6,6000.0
2015-03-30,53.95,6000.0
2015-03-31,53.84,6000.0
2015-04-01,52.83,6000.0
2015-04-02,54.63,6000.0
2015-04-05,54.82,6000.0
2015-04-06,53.95,6000.0
2015-04-07,55.01,6000.0
2015-04-08,55.92,6000.0
2015-04-09,53.31,6000.0
2015-04-12,55.55,6000.0
2015-04-13,56.58,6000.0
2015-04-14,56.32,6000.0
2015-04-15,56.82,6000.0
2015-04-16,58.66,6000.0
2015-04-19,58.62,6000.0
2015-04-20,59.34,6267.0
2015-04-21,59.25,6100.0
2015-04-22,58.03,6000.0
2015-04-23,58.6,6000.0
2015-04-26,61.54,6000.0
2015-04-27,62.0,6000.0
2015-04-28,61.62,6000.0
2015-04-29,61.65,6000.0
2015-04-30,62.69,5900.0
2015-05-03,62.985,5900.0
2015-05-04,63.03,5900.0
2015-05-06,64.79,5900.0
2015-05-07,65.06,5833.0
2015-05-10,63.585,5833.0
2015-05-11,62.84,5833.0
2015-05-12,62.4,5833.0
2015-05-13,64.21,5833.0
2015-05-14,63.61,5833.0
2015-05-17,62.62,5750.0
2015-05-18,63.58,5750.0
2015-05-20,61.75,5750.0
2015-05-21,62.68,5833.0
2015-05-24,63.07,5833.0
2015-05-25,62.98,5833.0
2015-05-26,63.07,5833.0
2015-05-27,62.11,5833.0
2015-05-28,60.64,5833.0
2015-05-31,61.705,5833.0
2015-06-01,61.705,5833.0
2015-06-02,62.49,5833.0
2015-06-03,62.3,5833.0
2015-06-04,60.71,5833.0
2015-06-07,60.845,5833.0
2015-06-08,60.23,5833.0
2015-06-09,59.64,5833.0
2015-06-10,62.66,5833.0
2015-06-11,63.44,5833.0
2015-06-14,61.44,5833.0
2015-06-15,61.29,5833.0
2015-06-16,60.46,5833.0
2015-06-17,60.81,5833.0
2015-06-18,60.98,5833.0
2015-06-21,60.52,5833.0
2015-06-22,59.82,5833.0
2015-06-23,60.11,5833.0
2015-06-24,61.09,5833.0
2015-06-25,60.26,5833.0
2015-06-28,59.785,5833.0
2015-06-29,59.36,5833.0
2015-06-30,59.56,5833.0
2015-07-01,60.93,6638.0
2015-07-02,59.51,6638.0
2015-07-03,59.45,6638.0
2015-07-06,57.93,6638.0
2015-07-07,55.16,6638.0
2015-07-08,54.98,6638.0
2015-07-09,56.69,6638.0
2015-07-10,58.19,6638.0
2015-07-13,57.75,6638.0
2015-07-14,56.25,6638.0
2015-07-15,56.93,6638.0
2015-07-16,55.75,6638.0
2015-07-17,62.365,6638.0
2015-07-20,55.4,6638.0
2015-07-21,54.68,6638.0
2015-07-22,55.03,6638.0
2015-07-23,54.22,6638.0
2015-07-24,53.45,6638.0
2015-07-27,52.87,6638.0
2015-07-28,51.85,6638.0
2015-07-29,51.86,6638.0
2015-07-30,52.53,6638.0
2015-07-31,52.07,6638.0
2015-08-03,51.11,7175.0
2015-08-04,50.13,7175.0
2015-08-05,50.09,7175.0
2015-08-06,49.71,7175.0
2015-08-07,50.15,7175.0
2015-08-10,50.15,7175.0
2015-08-11,50.59,7175.0
2015-08-12,49.37,7175.0
2015-08-13,49.87,7175.0
2015-08-17,48.53,7175.0
2015-08-18,48.22,7175.0
2015-08-19,48.27,7175.0
2015-08-20,46.73,7175.0
2015-08-21,46.23,7175.0
2015-08-24,44.4,7175.0
2015-08-25,42.66,7175.0
2015-08-26,42.94,7175.0
2015-08-27,43.57,7175.0
2015-08-28,46.84,7175.0
2015-08-31,48.72,7175.0
2015-09-01,49.98,7333.0
2015-09-02,46.16,7333.0
2015-09-03,47.01,7333.0
2015-09-04,47.19,7333.0
2015-09-07,46.6,7333.0
2015-09-08,45.93,7333.0
2015-09-09,47.55,7333.0
2015-09-10,45.75,7333.0
2015-09-11,51.1,7333.0
2015-09-14,45.47,7333.0
2015-09-15,43.87,7333.0
2015-09-16,44.08,7333.0
2015-09-17,46.78,7333.0
2015-09-18,45.99,7333.0
2015-09-21,44.58,7333.0
2015-09-22,45.0,7333.0
2015-09-23,45.13,7500.0
2015-09-24,51.1,7500.0
2015-09-25,44.98,7500.0
2015-09-30,44.31,7500.0
2015-10-01,45.92,7500.0
2015-10-02,45.38,7500.0
2015-10-05,45.91,7500.0
2015-10-06,46.48,8000.0
2015-10-07,48.97,8167.0
2015-10-08,48.41,8167.0
2015-10-12,49.61,8167.0
2015-10-13,47.08,8167.0
2015-10-14,46.52,8167.0
2015-10-15,46.44,8167.0
2015-10-16,46.58,8167.0
2015-10-19,46.22,8167.0
2015-10-20,44.61,8167.0
2015-10-21,44.43,8333.0
2015-10-22,43.71,8333.0
2015-10-23,43.9,8333.0
2015-10-26,43.48,8333.0
2015-10-27,43.01,8333.0
2015-10-28,43.11,8333.0
2015-10-29,44.45,8333.0
2015-10-30,43.94,8333.0
2015-11-02,44.55,8333.0
2015-11-03,43.89,8333.0
2015-11-04,45.45,8333.0
2015-11-05,43.7,8267.0
2015-11-06,43.16,8267.0
2015-11-09,42.88,8167.0
2015-11-10,51.1,8167.0
2015-11-11,42.59,8167.0
2015-11-12,41.68,8167.0
2015-11-13,40.77,8233.0
2015-11-16,40.35,8233.0
2015-11-17,40.39,8233.0
2015-11-18,39.64,8233.0
2015-11-19,40.13,8233.0
2015-11-20,40.07,8233.0
2015-11-23,39.57,8233.0
2015-11-24,40.7,8233.0
2015-11-25,41.4,8400.0
2015-11-26,40.94,8500.0
2015-11-27,40.37,8500.0
2015-11-30,39.87,8500.0
2015-12-01,39.8,8500.0
2015-12-02,39.75,8500.0
2015-12-03,38.29,8500.0
2015-12-07,38.35,8500.0
2015-12-08,36.91,8500.0
2015-12-09,36.49,8500.0
2015-12-10,36.51,8500.0
2015-12-11,36.2,8500.0
2015-12-14,34.64,8500.0
2015-12-15,33.82,8500.0
2015-12-16,34.24,8500.0
2015-12-17,32.86,8500.0
2015-12-18,32.98,8500.0
2015-12-21,31.98,8500.0
2015-12-22,32.0,8500.0
2015-12-23,31.82,8500.0
2015-12-24,32.83,8500.0
2015-12-28,32.61,8500.0
2015-12-29,32.11,8500.0
2015-12-30,32.74,8500.0
2015-12-31,32.19,8500.0
2016-01-04,32.54,8500.0
2016-01-05,31.66,8500.0
2016-01-06,30.76,8600.0
2016-01-07,27.96,8600.0
2016-01-08,29.11,8600.0
2016-01-11,28.07,8600.0
2016-01-12,26.44,8600.0
2016-01-13,26.49,8600.0
2016-01-14,26.04,8600.0
2016-01-15,26.22,8600.0
2016-01-18,24.65,8600.0
2016-01-19,24.72,8600.0
2016-01-20,23.36,8600.0
2016-01-21,22.83,8600.0
2016-01-22,23.88,8600.0
2016-01-25,26.1,8533.0
2016-01-26,24.84,8533.0
2016-01-27,26.11,8533.0
2016-01-28,27.08,8533.0
2016-01-29,28.37,8533.0
2016-02-01,29.01,8533.0
